Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,106.18,27.3,10.6,3.13,1.0,2192
1,756.47,172.23,38.87,6.12,1.0,823
2,252.61,65.9,23.56,5.0,1.0,2984
3,3981.89,746.6,35.6,5.1,1.0,20
