Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,748.86,188.4,35.83,6.54,2.99,3229
1,365.92,92.64,19.6,4.52,3.0,1830
2,17425.5,3206.42,46.08,6.0,2.92,12
3,153.63,36.63,11.83,3.49,1.49,341
4,2430.2,542.1,53.73,7.01,3.0,865
