Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,1259.21,297.52,44.6,6.99,2.99,2545
1,459.98,115.93,24.63,5.09,3.0,3130
2,4852.96,1004.78,59.71,7.29,2.99,250
3,155.62,37.68,12.96,3.59,1.5,286
