Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,891.98,196.44,40.38,6.54,1.0,577
1,104.68,26.57,10.26,3.3,1.0,2665
2,266.18,66.98,23.98,5.67,1.0,2911
3,6632.01,1188.86,27.43,4.57,1.0,7
