Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,475.76,122.76,25.43,4.9,3.0,3750
1,1654.19,388.68,47.0,6.76,2.99,2154
2,15834.58,3016.6,44.87,5.4,2.93,15
3,193.38,47.02,13.97,3.81,1.53,442
