Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,159.97,40.69,14.04,3.78,1.82,613
1,1456.44,360.04,44.44,6.76,4.95,3138
2,598.6,151.29,26.14,5.09,4.87,2366
3,5588.62,1188.19,60.89,7.1,5.0,424
