ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Activo
281,3609.7200000000003,989,65,7,1
282,2849.76,747,58,6,1
283,3587.28,1033,78,6,1
284,1804.56,517,57,6,1
285,529.05,187,45,6,1
286,8333.76,1983,93,8,1
287,435.93,140,27,5,1
288,1890.3,560,62,6,1
289,5174.745,1278,55,7,1
290,1514.37,362,56,7,1
291,3984.585,974,77,8,1
292,1749.6,513,66,7,1
293,1712.055,495,61,7,1
294,9585.705,2075,77,8,1
295,2541.105,670,60,7,1
296,2904.375,646,58,7,0
297,8934.435,2293,90,7,1
298,3737.085,1054,75,7,1
299,15262.83,3079,82,7,1
300,5792.475,1557,59,8,1
301,6289.065,1691,89,7,1
302,8730.39,2048,85,7,1
303,4296.375,1205,61,8,1
304,37.410000000000004,10,5,2,0
305,7109.805,1620,77,7,1
306,7656.6449999999995,1843,77,7,1
307,3156.06,824,63,6,1
308,13564.86,3195,110,8,1
309,4276.695,975,69,8,1
310,31811.925,6676,106,7,1
311,1415.43,453,64,8,1
312,28550.235,6540,112,8,1
313,8656.92,1837,65,7,1
314,3878.13,984,72,8,1
315,2590.635,686,67,6,1
316,4406.415,1231,87,8,1
317,183.615,61,32,5,0
318,31291.305,6917,133,8,1
319,11244.345,2254,71,7,1
320,5979.09,1401,73,8,1
321,3728.4,1045,81,7,1
322,4254.465,857,54,6,1
323,4372.17,1122,77,7,1
324,2018.325,543,66,7,1
325,1921.425,587,71,6,1
326,4530.45,1380,85,7,1
327,1064.685,307,57,6,1
328,3855.33,1088,67,8,1
329,3823.935,1083,76,7,1
330,2675.82,761,66,7,1
331,7.32,2,2,2,0
332,4642.17,1299,82,7,1
333,3706.695,1024,86,8,1
334,18895.08,4144,104,8,1
335,1211.835,284,45,6,1
336,3830.97,874,66,7,1
337,4174.02,1174,70,7,1
338,5436.045,1370,58,7,1
339,5572.71,1383,78,7,1
340,795.945,233,50,6,1
341,1222.695,346,50,7,1
342,3305.355,885,59,6,1
343,4227.69,1115,79,7,1
344,5143.71,1263,72,7,1
345,5005.995,1133,70,7,1
346,3250.275,918,77,7,1
347,6253.5,1477,78,8,1
348,5632.53,1374,82,7,1
349,10093.365,2302,87,8,1
350,6018.525,1536,87,8,1
351,6965.01,1625,67,7,1
352,4606.395,952,62,7,1
353,1510.74,458,64,6,1
354,7169.34,1662,84,8,1
355,9037.26,2117,79,8,1
356,15202.89,3269,83,8,1
357,3484.095,909,74,7,1
358,9302.73,2012,90,7,1
359,1969.02,466,57,7,1
360,6020.895,1387,77,7,1
361,23433.96,4644,79,8,1
362,1238.37,299,46,6,1
363,7981.155,2007,88,8,1
364,4673.325,1172,74,7,1
365,3612.9,1028,53,6,1
366,11632.23,2855,84,7,1
367,3731.82,958,70,8,1
368,33302.49,6226,78,7,1
369,5278.695,1365,95,8,1
370,2946.69,827,73,7,1
371,12742.425,3204,112,8,1
372,14102.49,3317,83,8,1
373,6975.27,1594,66,8,1
374,4484.175,1117,65,7,1
375,6823.83,1679,73,8,1
376,1495.575,499,55,7,1
377,5573.235,1477,79,7,1
378,3188.28,727,60,7,1
379,2285.025,611,62,7,1
380,9831.36,2404,84,7,1
381,11543.16,2810,104,7,1
382,19.92,9,6,3,0
383,3653.805,1105,84,7,1
384,21781.305,4674,97,8,1
385,3561.645,977,74,7,1
386,8795.985,1910,85,7,1
387,4599.015,1329,75,7,1
388,4457.04,1161,83,8,1
389,9068.07,1758,18,4,1
390,9292.995,2173,75,8,1
391,3805.815,973,69,7,1
392,2450.31,701,45,6,1
393,2917.89,733,72,7,1
394,1461.585,388,50,6,1
395,2861.235,752,56,8,1
396,9694.935,2118,83,7,1
397,4506.825,1181,71,7,1
398,3385.395,774,64,7,1
399,4530.045,1093,75,7,1
400,6363.765,1243,57,5,1
401,9510.54,2145,82,8,1
402,2930.865,710,70,8,1
403,63069.75,11053,79,7,1
404,12085.59,2662,94,8,1
405,7311.57,1581,77,7,1
406,1764.945,580,60,7,1
407,13551.855,2836,88,8,1
408,3053.46,676,51,7,1
409,50.25,13,7,3,0
410,2810.625,820,46,6,1
411,2639.085,604,61,7,1
412,1978.245,558,65,7,1
413,10653.06,2109,77,8,1
414,15512.88,3325,87,8,1
415,4719.315,1269,76,7,1
416,8535.615,2187,88,8,1
417,17071.215,4043,113,8,1
418,5354.655,1427,72,7,1
419,3134.145,853,64,7,1
420,2808.915,720,66,8,1
421,6959.22,1481,58,7,1
422,13237.41,2787,93,8,1
423,17953.125,3346,73,6,1
424,17374.305,3829,106,8,1
425,2677.215,716,69,7,1
426,4011.96,1165,75,7,1
427,84.315,17,6,2,0
428,9724.515,1833,71,8,1
429,215.43,58,24,6,0
430,5113.44,1332,98,8,1
431,6323.625,1421,57,7,1
432,11596.065,2600,69,7,1
433,6759.99,1646,81,7,1
434,2996.79,879,61,7,1
435,16588.575,3399,92,7,1
436,5678.61,1464,79,7,1
437,1349.91,339,44,6,1
438,35532.405,7387,96,8,1
439,5041.455,1263,68,7,1
440,7118.325,1436,67,7,1
441,2710.35,686,73,7,1
442,3363.135,906,48,6,1
443,4106.82,1031,56,6,1
444,3958.89,978,60,6,1
445,3758.37,987,83,8,1
446,7933.155,1827,74,7,1
447,6171.465,1654,72,7,1
448,4205.19,1158,59,7,1
