ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Cluster
4799,802.485,172,36,6,3,2
4800,375.18,117,34,6,3,2
4801,1100.79,300,49,6,3,2
4802,2511.15,450,11,3,3,0
4803,1023.36,275,44,5,3,2
4804,223.30499999999998,60,16,5,3,0
4805,2022.72,480,64,7,3,1
4806,616.71,175,42,6,3,2
4807,7198.95,1351,58,7,3,1
4808,326.55,68,12,3,3,0
4809,636.33,172,41,7,3,2
4810,728.715,195,39,6,3,2
4811,73.32,24,13,4,3,0
4812,166.5,45,21,5,3,0
4813,178.965,60,22,6,3,0
4814,2244.525,524,65,7,3,1
4815,156.165,50,24,6,3,0
4816,520.14,126,30,5,3,0
4817,250.575,70,26,4,3,0
4818,0.0,0,9,2,1,3
4819,165.72,58,20,4,3,0
4820,650.535,176,35,6,3,2
4821,429.06,120,37,5,3,0
4822,366.51,98,25,5,3,0
4823,420.705,117,32,5,3,0
4824,547.29,177,31,5,3,0
4825,256.59,62,12,3,3,0
4826,287.16,78,23,4,3,0
4827,1185.6299999999999,256,39,6,3,2
4828,572.295,136,24,4,3,0
4829,499.785,143,34,5,3,0
4830,702.42,163,35,4,3,0
4831,446.97,140,29,5,3,0
4832,1716.195,381,37,5,3,2
4833,631.8149999999999,132,20,4,3,0
4834,245.94,72,16,5,3,0
4835,1578.39,385,59,7,3,2
4836,769.68,219,37,6,3,2
4837,639.18,180,48,7,3,2
4838,624.72,187,38,6,3,2
4839,481.98,116,26,5,3,0
4840,2594.61,544,54,7,3,1
4841,161.98499999999999,40,11,3,3,0
4842,239.325,53,5,1,3,0
4843,414.825,100,23,5,3,0
4844,515.85,157,38,6,3,2
4845,1630.035,421,61,6,3,2
4846,218.17499999999998,57,15,4,3,0
4847,1106.46,203,13,3,3,0
4848,495.99,113,32,5,3,0
4849,591.48,140,43,5,3,2
4850,94.755,27,15,4,3,0
4851,1216.89,232,17,4,3,0
4852,201.58499999999998,66,27,5,3,0
4853,379.755,101,22,4,3,0
4854,2151.87,551,84,7,3,1
4855,728.055,165,24,5,3,0
4856,276.96,80,20,3,3,0
4857,711.375,188,32,5,3,0
4858,531.39,132,37,5,3,0
4859,323.52,77,30,7,3,2
4860,1246.59,335,66,8,3,2
4861,845.52,159,16,3,3,0
4862,169.8,52,19,5,3,0
4863,658.875,168,29,6,3,2
4864,493.755,150,40,7,3,2
4865,521.67,138,36,6,3,2
4866,1006.965,276,55,7,3,2
4867,1695.255,407,46,7,3,2
4868,264.18,62,22,6,3,0
4869,2111.475,483,50,7,3,1
4870,2185.26,502,56,7,3,1
4871,615.87,187,44,7,3,2
4872,484.8,109,29,3,3,0
4873,644.4,142,26,6,3,0
4874,244.545,67,12,2,3,0
4875,615.495,155,38,5,3,0
4876,451.98,112,34,6,3,2
4877,199.695,48,14,5,3,0
4878,304.68,97,30,5,3,0
4879,771.8100000000001,165,26,4,3,0
4880,1180.425,294,51,7,3,2
4881,185.535,44,11,4,3,0
4882,1073.895,240,50,5,3,2
4883,690.27,189,40,7,3,2
4884,206.17499999999998,59,20,5,3,0
4885,400.32,91,21,6,3,0
4886,707.295,179,48,7,3,2
4887,1442.31,355,65,7,3,2
4888,326.07,96,30,5,3,0
4889,1034.4,249,42,7,3,2
4890,188.145,48,17,5,3,0
4891,310.875,81,20,5,3,0
4892,699.165,162,30,7,3,2
4893,183.96,52,19,6,3,0
4894,126.69,43,21,5,3,0
4895,470.085,140,36,5,3,0
4896,1416.315,326,39,6,3,2
4897,228.495,61,13,3,3,0
4898,723.54,176,27,4,3,0
4899,498.765,132,31,6,3,2
4900,969.735,229,42,6,3,2
4901,126.405,34,8,4,3,0
4902,7743.195,1475,71,7,3,1
4903,1087.605,254,39,5,3,2
4904,807.33,202,45,7,3,2
4905,1376.835,275,31,5,3,2
4906,135.18,40,9,5,3,0
4907,624.945,167,29,4,3,0
4908,680.505,192,42,6,3,2
4909,587.97,140,35,6,3,2
4910,1125.9,283,53,6,3,2
4911,898.74,188,44,8,3,2
4912,163.275,50,25,6,3,0
4913,540.945,107,16,7,3,0
4914,1225.44,298,43,7,3,2
4915,152.085,45,17,2,3,0
4916,356.235,101,17,4,3,0
4917,370.95,107,42,7,3,2
4918,422.29499999999996,109,29,6,3,0
4919,1388.805,291,40,7,3,2
4920,283.425,85,23,4,3,0
4921,315.735,83,12,4,3,0
4922,946.6800000000001,222,44,6,3,2
4923,393.045,109,29,4,3,0
4924,2115.93,460,57,7,3,1
4925,198.285,61,25,5,3,0
4926,462.795,131,45,7,3,2
4927,585.225,148,46,7,3,2
4928,97.515,33,16,5,2,3
4929,288.315,82,31,7,3,2
4930,327.615,87,15,4,3,0
4931,487.935,139,32,5,3,0
4932,782.775,214,46,7,3,2
4933,477.22499999999997,112,25,7,3,2
4934,1462.86,273,26,5,3,0
4935,747.705,207,46,6,3,2
4936,698.85,169,35,5,3,0
4937,47.730000000000004,18,10,3,3,0
4938,303.84,96,36,5,3,0
4939,1935.24,363,15,3,3,0
4940,979.62,262,42,7,3,2
4941,149.64000000000001,38,11,3,3,0
4942,2117.055,538,38,5,3,2
4943,137.01,52,24,5,3,0
4944,154.23,51,17,5,3,0
4945,166.11,41,11,3,3,0
4946,287.40000000000003,72,29,5,3,0
4947,412.635,123,38,5,3,0
4948,605.64,171,30,5,3,0
4949,618.795,136,20,4,3,0
4950,258.75,85,28,5,3,0
4951,499.38,131,32,6,3,2
4952,1383.735,339,41,5,3,2
4953,304.89,76,21,5,3,0
4954,479.31,137,20,5,3,0
4955,443.025,90,15,3,3,0
4956,817.155,207,35,5,3,2
4957,2740.05,527,20,5,3,2
4958,485.43,91,16,2,3,0
4959,57.375,16,4,3,3,0
4960,88.71,23,7,3,3,0
4961,86.205,22,6,3,3,0
4962,218.05499999999998,54,16,5,3,0
4963,195.525,55,28,6,2,3
4964,232.755,62,18,4,3,0
4965,883.56,242,53,7,3,2
4966,42.405,14,11,3,1,3
4967,1283.55,341,51,8,3,2
4968,1159.77,251,45,6,3,2
4969,398.22,118,40,5,3,0
4970,186.15,61,22,4,3,0
4971,732.99,181,33,6,3,2
4972,878.265,199,36,6,3,2
4973,249.795,57,20,6,3,0
4974,183.75,43,11,4,3,0
4975,193.635,47,14,3,3,0
4976,68.715,23,19,6,3,0
4977,117.225,35,13,3,3,0
4978,294.465,69,16,3,3,0
4979,345.975,92,20,3,3,0
4980,803.475,209,43,7,3,2
4981,449.175,116,30,7,3,2
4982,1653.375,397,42,8,3,2
4983,256.935,75,27,4,3,0
4984,636.39,142,31,5,3,0
4985,730.485,198,46,5,3,2
4986,634.62,198,42,6,3,2
4987,13.86,5,2,2,1,3
4988,1605.66,400,42,6,3,2
4989,691.245,170,29,6,3,2
4990,823.605,196,47,7,3,2
4991,381.96,108,45,6,3,2
4992,1927.695,521,66,7,3,1
4993,166.335,41,9,4,3,0
4994,340.68,108,42,5,3,0
4995,313.68,89,31,5,3,0
4996,2273.685,545,53,6,3,1
4997,200.25,56,18,3,3,0
4998,914.2049999999999,261,49,6,3,2
4999,157.065,52,22,5,3,0
