Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,4125.43,1042.68,66.14,7.03,11.61,5667
1,566.51,138.54,25.05,4.84,4.82,1712
2,19089.37,4207.65,94.12,7.67,11.99,949
