Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,378.48,97.07,21.71,4.64,3.0,2676
1,160.34,39.04,12.56,3.5,1.53,428
2,987.04,240.93,38.78,6.49,2.99,2886
3,3799.8,801.78,54.27,6.92,3.0,327
