Cluster,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Número de Clientes
0,643.97,161.49,36.04,6.38,2.0,2953
1,107.96,26.89,10.51,3.4,1.0,281
2,248.55,63.76,17.66,4.24,2.0,2675
3,2443.54,527.13,54.09,6.86,2.0,359
